year,gdp_trillion_cny,gdp_per_capita_cny
2000,10.0,7942
2001,11.1,8717
2002,12.2,9506
2003,13.7,10666
2004,16.1,12487
2005,18.7,14368
2006,21.9,16738
2007,27.0,20505
2008,31.9,24121
2009,34.8,26222
2010,41.2,30876
2011,48.8,36403
2012,53.9,40007
2013,59.3,43852
2014,64.4,47203
2015,68.9,50251
2016,74.6,54133
2017,83.2,60012
2018,91.9,66006
2019,98.7,70774
2020,101.3,72447
2021,114.9,81370
2022,121.0,85698
2023,126.0,89358
2024,132.5,94120
2025,139.5,99200
